time,metric,value,if_score
2026-05-01 02:35:00+00:00,M336,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M348,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M362,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M378,70.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M392,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M419,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M430,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M452,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M474,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M475,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M490,1.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M494,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M516,10.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M520,2773.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M529,1.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M609,9.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M610,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M618,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M658,67.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M688,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M696,1136.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M719,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M736,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M767,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M779,10.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M786,87.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M841,5.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M843,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M855,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M874,309.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M899,5.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M904,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M965,9.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M971,4303.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M972,0.0,-0.07503193171330369
2026-05-01 02:35:00+00:00,M991,0.0,-0.07503193171330369
2026-05-01 02:40:00+00:00,M029,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M037,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M104,3.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M162,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M164,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M185,66.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M204,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M238,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M265,5.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M318,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M336,1.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M348,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M362,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M378,66.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M392,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M419,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M430,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M452,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M474,0.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M475,1.0,-0.051981653508780146
2026-05-01 02:40:00+00:00,M490,0.0,-0.051981653508780146
