time,metric,value,z_score
2026-06-04 06:15:00+00:00,M965,43,3.4754451738247094
2026-06-04 07:10:00+00:00,M475,1,3.9861637392558062
2026-06-04 07:10:00+00:00,M490,1,3.6280130488296627
2026-06-04 07:20:00+00:00,M378,125,6.736024546424111
2026-06-04 07:20:00+00:00,M658,125,7.086908352775472
2026-06-04 07:20:00+00:00,M786,129,6.438238637188351
2026-06-04 07:20:00+00:00,M841,4,3.3463180561446433
2026-06-04 07:20:00+00:00,M965,45,3.7223467221005757
2026-06-04 07:40:00+00:00,M475,5,20.616898124099347
2026-06-04 07:45:00+00:00,M475,1,3.9861637392558062
2026-06-04 07:45:00+00:00,M490,1,3.6280130488296627
2026-06-04 08:10:00+00:00,M843,1,5.807053316353087
2026-06-04 08:10:00+00:00,M965,41,3.228543625548843
2026-06-04 08:20:00+00:00,M843,1,5.807053316353087
2026-06-04 08:25:00+00:00,M904,5,3.3151017642218727
2026-06-04 08:30:00+00:00,M475,1,3.9861637392558062
2026-06-04 08:50:00+00:00,M965,43,3.4754451738247094
2026-06-04 09:00:00+00:00,M474,1,11.742331665439213
2026-06-04 09:15:00+00:00,M965,40,3.1050928514109097
2026-06-04 10:00:00+00:00,M490,1,3.6280130488296627
2026-06-04 10:05:00+00:00,M965,40,3.1050928514109097
2026-06-04 10:15:00+00:00,M736,2,3.6390656569105078
2026-06-04 10:45:00+00:00,M965,40,3.1050928514109097
2026-06-04 11:10:00+00:00,M965,40,3.1050928514109097
2026-06-04 12:35:00+00:00,M029,1,5.0761719056800665
2026-06-04 12:35:00+00:00,M490,1,3.6280130488296627
2026-06-04 13:00:00+00:00,M736,2,3.6390656569105078
2026-06-04 13:10:00+00:00,M736,2,3.6390656569105078
2026-06-04 14:30:00+00:00,M475,1,3.9861637392558062
2026-06-04 15:15:00+00:00,M475,2,8.14384733546669
2026-06-04 15:30:00+00:00,M843,1,5.807053316353087
2026-06-04 15:35:00+00:00,M475,1,3.9861637392558062
2026-06-04 16:00:00+00:00,M419,1,12.950858562770918
2026-06-04 16:30:00+00:00,M475,1,3.9861637392558062
2026-06-04 16:40:00+00:00,M029,1,5.0761719056800665
2026-06-04 18:15:00+00:00,M490,1,3.6280130488296627
2026-06-04 20:20:00+00:00,M516,7,3.7668751466468473
2026-06-04 21:00:00+00:00,M843,1,5.807053316353087
2026-06-04 21:25:00+00:00,M843,1,5.807053316353087
2026-06-04 21:50:00+00:00,M475,1,3.9861637392558062
2026-06-04 22:00:00+00:00,M029,1,5.0761719056800665
2026-06-04 22:05:00+00:00,M736,2,3.6390656569105078
2026-06-04 22:05:00+00:00,M904,5,3.3151017642218727
2026-06-04 22:15:00+00:00,M490,1,3.6280130488296627
2026-06-04 22:20:00+00:00,M490,1,3.6280130488296627
2026-06-04 22:45:00+00:00,M490,2,7.487149293327246
2026-06-04 23:15:00+00:00,M965,52,4.586502141066107
2026-06-04 23:20:00+00:00,M490,1,3.6280130488296627
2026-06-04 23:45:00+00:00,M475,1,3.9861637392558062
2026-06-05 00:00:00+00:00,M490,1,3.6280130488296627
2026-06-05 00:10:00+00:00,M841,4,3.3463180561446433
2026-06-05 00:10:00+00:00,M965,40,3.1050928514109097
2026-06-05 00:15:00+00:00,M490,1,3.6280130488296627
2026-06-05 00:20:00+00:00,M843,1,5.807053316353087
2026-06-05 00:25:00+00:00,M965,41,3.228543625548843
2026-06-05 01:05:00+00:00,M490,1,3.6280130488296627
2026-06-05 01:15:00+00:00,M475,1,3.9861637392558062
2026-06-05 01:25:00+00:00,M609,17,3.2811646980712545
2026-06-05 01:30:00+00:00,M490,1,3.6280130488296627
2026-06-05 01:55:00+00:00,M490,1,3.6280130488296627
